"species","lat","lon","sitename","date","canopy_cover","uid"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,30,"889f8af6-52a2-49ad-b830-355b57739597"
"Cerastium glomeratum Thuill.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,3,"63610b34-b239-437f-a3d6-60085af4efb9"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,8,"e0cdfc79-d2a8-4293-ab19-7010c371cec9"
"Gilia tricolor Benth.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,4,"f959e520-6ad0-40c6-a1f8-fa60285c3fa1"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,2,"131e5ebf-848a-4924-8d36-42876fb5357f"
"Gilia tricolor Benth.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,25,"5985cf05-8b04-4770-85f5-894f8e8681d1"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,45,"24d4983f-dd9b-4fe5-a5db-6abf66482ed4"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,8,"677b4dc2-a7e0-4690-a1b8-98afa4106179"
"Trifolium microcephalum Pursh",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,3,"4c39d0cc-ec7e-4f13-82b9-887758dc6f13"
"Galium aparine L.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,1,"dead9546-8520-43d4-8bee-c189e2de9f9f"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,0.5,"d13aed99-605e-4367-89c0-b4e1e88a3dc2"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,1,"fe178a90-dd44-4c0b-ad34-15a29b6a34b1"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,3,"dde1ffc5-f814-44bd-beaf-2da72d82bf7d"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,2,"96bf4ec1-31d4-4273-a4e4-7ef1998bb378"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,0.5,"6426ff10-d7d4-4ebb-bd4f-ad6079cb47c9"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,0.5,"d0d0d920-7137-47f0-88e2-09e78732d226"
"Lupinus bicolor Lindl.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,0.5,"2415eeeb-418e-4fe2-86ba-4c4121667ae3"
"Lupinus bicolor Lindl.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,2,"663cbf69-43b4-40a5-84a8-e38c703f5819"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,8,"d07bbb7d-3bcb-4df7-8a28-2e21eb3b0041"
"Plagiobothrys nothofulvus (A. Gray) A. Gray",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,2,"ceddab84-baca-4d34-9076-30e58c4fa29e"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,2,"bd385e0e-998f-4f2e-9904-8f3ca23e9efc"
"Plagiobothrys nothofulvus (A. Gray) A. Gray",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,1,"cff2b7f8-1624-4fe3-96dc-5911ba114492"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,20,"1fa48e9d-7eff-458e-ac47-169b1ed976fb"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,0.5,"304ad364-c3ed-4fd3-a24b-9aca1559cc54"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,0.5,"5cedeef1-ce2c-4b3b-a879-51a2973d4b95"
"Castilleja attenuata (A. Gray) T.I. Chuang & Heckard",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,1,"fa4d732c-e4db-4862-98d2-ab45ba1d5676"
"Trifolium microcephalum Pursh",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,18,"a6854e2f-9f67-4faa-ad70-276645ca0554"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,10,"6381f9fe-72cd-4933-a60d-889cfde6b7ce"
"Aira caryophyllea L.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,1,"c0d8ddcc-0ca0-400c-9533-874b316497df"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,4,"1c267ed9-9c29-4c48-9548-d1ed0d832947"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,1,"c0e44ce9-3253-451f-985e-eac34a92bfca"
"Oxalis radicosa A. Rich.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,4,"26d89c54-16cb-45d1-8425-c7074204f570"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,2,"9559c363-bfbb-4a7d-af3c-66c23d057f50"
"Calandrinia ciliata (Ruiz & Pav.) DC.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,2,"f0fd0b11-87fb-41f2-acc5-f64aa534acf6"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,0.5,"9613540e-877e-4af7-a1cd-fb745c36bf1e"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,1,"e7568e4a-a8e6-434f-852b-dd0399de88d2"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,2,"f9b8d33f-5030-493f-a614-451d8b78ad8a"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,0.5,"c8697f50-cc89-40f0-81fd-0a9b181de6fd"
"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,0.5,"c209467a-ebdd-4c4f-93d8-0b1aea392bc7"
"Pterostegia drymarioides Fisch. & C.A. Mey.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,0.5,"73abf09c-e065-48ba-be4a-c7228b68ec44"
"Aira caryophyllea L.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,12,"b7278388-34a3-4bb2-a32d-48c411df881e"
"Cerastium glomeratum Thuill.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,1,"de72a484-338d-43f9-89c2-ed2730dc9b28"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,4,"6b5f2ca9-2569-49a6-8a70-0eb4882f949b"
"Castilleja attenuata (A. Gray) T.I. Chuang & Heckard",37.08,-119.72,"SJER_SJER_015_40.3.1",2019-04-15,5,"a2c7faad-3ee1-4e7c-b573-41648b041355"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_41.4.1",2019-04-15,3,"b3ec4ef1-7893-4b11-a7f4-2f5b5f66b777"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,0.5,"b7d9ed66-06b6-4f32-bcfb-4462eb8e6f4a"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_015_32.4.1",2019-04-15,0.5,"b04232a2-d0fe-422e-9769-a0638f0e3f69"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,6,"3548305a-37ca-427f-8dd1-3062c709fb84"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_015_32.2.1",2019-04-15,35,"2d73e041-b159-460b-a390-e3d669e9ef62"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_015_40.1.1",2019-04-15,10,"14859163-ace7-4fb6-8fbf-c614fe0bf8b4"
"Bromus tectorum L.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,0.5,"f4afc9ff-71cf-4e65-bc62-74e853434c26"
"Carduus pycnocephalus L.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,0.5,"597f8442-7edc-4534-a28e-8689472a5ec4"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,1,"d6e7b593-2cf2-4cd0-830d-331c47570d32"
"Hordeum murinum L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,0.5,"b26d66fa-2d56-469e-9e8c-e29254b2b2c7"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,1,"444b96cf-6b81-4d06-abfb-212ee528a92a"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,0.5,"5da75362-696d-495c-a05c-bd422d956ace"
"Pterostegia drymarioides Fisch. & C.A. Mey.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,1,"c03fb9b0-a04c-46cb-8c55-0fada78e44f6"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,40,"47c4457a-8321-434f-86eb-c7fa33b3934c"
"Quercus wislizeni A. DC.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,0.5,"fe66d09b-bf24-4bd5-b11c-24d5e7fc594a"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,0.5,"bf95cc89-c18e-4d07-a944-0700c9941446"
"Stellaria media (L.) Vill.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,1,"04e59fdd-5577-4a45-8079-832ddb355585"
"Trifolium microcephalum Pursh",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,0.5,"1ac9bd84-5e19-4b33-adf1-ad104995de46"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,2,"a81833b9-a183-4a7b-8157-874d48e93f63"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,3,"7a2fcaab-050c-4beb-96c2-6399b35c0096"
"Croton setigerus Hook.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,0.5,"dbc9b98e-201a-4379-a4d9-8f7674c8b18f"
"Bromus arenarius Labill.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,1,"d0df7387-4817-40f6-abc1-5f241e3b709b"
"Trifolium microcephalum Pursh",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,0.5,"e07c7efe-e827-4e52-8ed4-20fb908fb82f"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,8,"ebe5143c-eb73-4ff4-a59d-6490ca703119"
"Trifolium macrocephalum (Pursh) Poir.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,2,"9a20bb9e-ed8f-437e-b43a-bd29bd99c8a4"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,10,"8cca6ccc-98d3-4954-92b7-d279adb70698"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,6,"6a3b4f19-97f6-4d63-9108-68fedc33d500"
"Quercus wislizeni A. DC.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,0.5,"c2a44907-c369-400a-961f-ec7ea2951d00"
"Oxalis radicosa A. Rich.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,3,"c25e730f-921e-473a-9665-04ab9862614f"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"12b37af0-a513-41b0-bc6b-98d5f98e090c"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,2,"bfdf83f7-a548-42ce-a599-f1e6028cc1bb"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,6,"fd9eb9ec-20b7-4fb9-a814-a24f0479394f"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,4,"e87e1111-7c93-4490-9518-3763745c26a6"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,5,"c7281645-d84f-4a66-a175-f9c98bde20c9"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,2,"905d51da-958a-4f81-a53e-c0b93c53ab5a"
"Bromus tectorum L.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,1,"da39334a-6500-40a9-808a-e9a9c40144e0"
"Bromus arenarius Labill.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,0.5,"18e2a080-f7d6-406d-8a39-876ed1f6c932"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"2f2c272a-0c63-4976-be04-40877fcfeac9"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"93799ee5-d10d-49e2-af24-144053cf9619"
"Galium aparine L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,3,"488a3d5a-0ee8-46c9-999c-b63e90fe8035"
"Pterostegia drymarioides Fisch. & C.A. Mey.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,6,"c5c42c37-6105-434f-b649-a5dd948ac5d7"
"Senecio vulgaris L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,0.5,"3f8cefdf-df39-4f8b-b5a0-2ca24347f0dd"
"Phacelia cicutaria Greene",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,6,"7705e317-5c35-4f4d-8f31-005b240f313e"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,1,"ff4c520e-23bc-4945-b6b9-c3d8d1afb634"
"Caulanthus coulteri S. Watson",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"ba3f2bf5-1529-43c3-b728-5effb2f43b62"
"Calandrinia ciliata (Ruiz & Pav.) DC.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,0.5,"e807f6b4-de59-4b7b-8ca3-e3d44a7033dc"
"Carduus pycnocephalus L.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,3,"1125e4a2-8420-499f-9e3a-21372cd720e1"
"Senecio vulgaris L.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,0.5,"fd65709e-355f-4b12-9999-90f418b0dbe5"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,10,"7f23a570-5551-4bbb-833a-b02b9430cc39"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,1,"852dd453-0a75-46ba-9cfa-a0d3849746dd"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,2,"7b69ce21-662b-4e66-9664-cb0e750b3943"
"Phacelia cicutaria Greene",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,4,"573fab1f-029a-4ab1-b3ad-5667236c7a2f"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,1,"a4c250b5-f53a-415a-9d96-24b24345bcdc"
"Lupinus benthamii A. Heller",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,0.5,"0d9e8f32-0869-4984-9b1a-85b427ce8f1a"
"Carduus pycnocephalus L.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,2,"5ce456c8-3f8b-458b-86cc-6182eea70e0f"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,2,"36ae3219-4503-4c70-bb50-5f9e798729b4"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,2,"5d23388a-9ca8-4b9c-876b-65fd91fde600"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,1,"29cd34f5-2164-402e-8ace-97ac2097f81c"
"Pterostegia drymarioides Fisch. & C.A. Mey.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"ffd671c9-c884-4701-ace4-cd2295ba9360"
"Pterostegia drymarioides Fisch. & C.A. Mey.",37.08,-119.72,"SJER_SJER_014_32.4.1",2019-04-16,0.5,"1db6f459-dfa3-489d-a447-a13465825211"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_014_32.2.1",2019-04-16,2,"8ec0610a-14b3-46d7-a875-c245f6842ab5"
"Centaurea melitensis L.",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,7,"2daf6050-eb1c-4761-b46c-fc58ff707859"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,25,"279e426e-a843-4cdc-958d-d354dd7ae656"
"Bromus rubens L.",37.08,-119.72,"SJER_SJER_014_41.4.1",2019-04-16,5,"08277355-171a-47f8-9807-e40f58899556"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_014_31.1.1",2019-04-16,1,"c9825b71-7472-4602-bc1a-a007a89fc376"
"Trifolium microcephalum Pursh",37.08,-119.72,"SJER_SJER_014_40.3.1",2019-04-16,1,"a0ab6efa-a968-40a6-806a-57b08a4d543e"
"Calandrinia ciliata (Ruiz & Pav.) DC.",37.08,-119.72,"SJER_SJER_014_40.1.1",2019-04-16,0.5,"619e8600-f23c-4edc-9d76-b21fbbec32e7"
"Bromus hordeaceus L.",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,20,"22f60dfa-17ad-4500-838b-d84577738fec"
"Bromus hordeaceus L.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,18,"f0bae820-e775-4cdd-b22e-0983210578ea"
"Erodium cicutarium (L.) L'Hér. ex Aiton",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,11,"54b34171-cd41-4994-aa51-457c9b574121"
"Bromus tectorum L.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,2,"d769d80c-b8dc-4c5b-9a4b-e7ff3220d472"
"Trifolium willdenovii Spreng.",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,0.5,"23199f90-0035-4878-93b2-6faf4fd57dbb"
"Bromus hordeaceus L.",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,35,"8d62e538-69c9-4839-bbc9-2445fd222dc8"
"Plagiobothrys nothofulvus (A. Gray) A. Gray",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,1,"4c066438-5135-48c1-b83f-ff9335c548d3"
"Trifolium microcephalum Pursh",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,3,"0100f2c6-4522-474f-923c-ab5aa9b96637"
"Bromus diandrus Roth",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,2,"efb75e7a-2354-4902-a73f-32d70a053f6d"
"Hypochaeris glabra L.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,7,"3fcfa7c9-3ab4-4dba-9465-e7f9089c36bc"
"Bromus rubens L.",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,0.5,"aa48e5c6-7598-40c3-850b-f3278ad82312"
"Avena barbata Pott ex Link",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,0.5,"a73e584c-6e54-4cd8-bd02-51deb52d8b09"
"Bromus hordeaceus L.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,17,"e0b5d8d3-6c37-4608-83cd-a3a3a5b8e340"
"Plagiobothrys nothofulvus (A. Gray) A. Gray",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,0.5,"b77fe7b4-5458-48f7-b580-bf522fcdf09f"
"Trifolium willdenovii Spreng.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,20,"45e114c5-774d-4762-9171-bbbed757cc3d"
"Lupinus bicolor Lindl.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,0.5,"83e094b9-2e56-450a-8a8f-258ebd14b156"
"Bromus diandrus Roth",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,1,"f07349bb-c747-41f5-976d-ad5f51741c3d"
"Silene gallica L.",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,0.5,"481bef7d-b25a-4461-8b6c-18164b486b50"
"Trifolium microcephalum Pursh",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,2,"814858b2-11df-4559-b777-80c70dd903f0"
"Trifolium microcephalum Pursh",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,4,"8cdc3d8b-942a-4fd7-a6fb-88e4aba6d835"
"Aira caryophyllea L.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,7,"b702d0ef-bba0-4469-a4c8-3dbd4eeba961"
"Avena barbata Pott ex Link",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,1,"2a8e5d4b-7184-4e31-8534-066e06b26180"
"Calandrinia ciliata (Ruiz & Pav.) DC.",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,2,"70b97a6b-bfee-455b-bd84-377ca590ea43"
"Lolium perenne L.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,0.5,"3a3bc9f5-0fc8-4a37-8cc2-429d5288a1cc"
"Avena barbata Pott ex Link",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,0.5,"82c1f014-93eb-4028-9fd4-065a3d1459ee"
"Erodium botrys (Cav.) Bertol.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,10,"2b7e73ef-26bd-410f-b5d5-07f42f29d58d"
"Bromus diandrus Roth",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,0.5,"ffc464ef-48a3-4535-91a8-d45ddab4ce17"
"Trifolium ciliolatum Benth.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,1,"c2dd8348-71f9-4f0c-897e-ae95044d3cff"
"Erodium botrys (Cav.) Bertol.",37.11,-119.72,"SJER_SJER_001_40.3.1",2019-04-22,35,"3803c038-c506-4735-ad81-92393da63e79"
"Hypochaeris glabra L.",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,20,"d8188ae7-459e-423e-afd7-8976ade62c0e"
"Erodium botrys (Cav.) Bertol.",37.11,-119.72,"SJER_SJER_001_31.1.1",2019-04-22,3,"00006797-0dfd-4c3a-8ae7-321a176909cf"
"Hypochaeris glabra L.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,3,"e2b6b74e-aae1-4ab7-9384-05c19248dcd3"
"Avena barbata Pott ex Link",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,0.5,"50b033f7-feac-4233-9695-47bfbab6a190"
"Silene gallica L.",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,3,"4510544d-fcae-4d61-988c-053b260fd5ec"
"Erodium botrys (Cav.) Bertol.",37.11,-119.72,"SJER_SJER_001_40.1.1",2019-04-22,3,"028b0e02-e217-4f59-a8c8-d403a8699345"
"Muilla maritima (Torr.) S. Watson",37.11,-119.72,"SJER_SJER_001_41.4.1",2019-04-22,1,"fe79ccbb-8ce1-4295-a181-c750eeb73365"
"Stellaria media (L.) Vill.",37.11,-119.72,"SJER_SJER_001_32.2.1",2019-04-23,0.5,"ff16d0b8-fb58-470e-81f0-1f0d92392a93"
"Trifolium ciliolatum Benth.",37.11,-119.72,"SJER_SJER_001_32.4.1",2019-04-23,1,"9eedcc35-405e-4b02-a273-a47dbbe56b9a"
"Plagiobothrys nothofulvus (A. Gray) A. Gray",37.08,-119.74,"SJER_SJER_002_31.1.1",2019-04-23,0.5,"f9e36f28-654a-4067-9b85-a066337b5303"
"Erodium botrys (Cav.) Bertol.",37.11,-119.72,"SJER_SJER_001_32.4.1",2019-04-23,18,"1a46e478-3be8-4a8e-b745-a5c8dbef70a5"
"Hypochaeris glabra L.",37.08,-119.74,"SJER_SJER_002_31.1.1",2019-04-23,10,"a10507e4-c7db-402f-89e4-2bb749c0e081"
"Hypochaeris glabra L.",37.08,-119.74,"SJER_SJER_002_40.3.1",2019-04-23,7,"6958f5ab-135a-408e-821b-96c82741f017"
"Avena barbata Pott ex Link",37.08,-119.74,"SJER_SJER_002_32.4.1",2019-04-23,0.5,"839b6835-6e67-4fac-8fc6-82b495cb23d2"
